Address,City,Postal Code,Fine Amount
212 East 48th Street,New York,10017,30937.384
305 West 150th Street,New York,10039,32705.848999999995
233 Pacific Street,Brooklyn,11201,60621.6
108 East 91st Street,New York,11212,30337.600000000006
101 West 14th Street,New York,10011,89948.103
2100 Bedford Avenue,Brooklyn,11226,99501.164
22 West 26th Street,New York,10010,30585.164999999994
250 West 88th Street,New York,10024,11675.553999999996
435 East 65th Street,New York,10065,73302.01999999999
100 West 89th Street,New York,10024,46989.51200000002
805 Washington Avenue,Brooklyn,11238,93887.30099999999
1704 Ocean Avenue,Brooklyn,11230,80619.76000000001
500 Grand Street & 530 Grand Street & 550 Grand Street,New York,10002,243934.33700000012
2915 West 5th Street / 440 Neptune Avenue,Brooklyn,11224,1006682.5040000001
61-15 - 61-55 98th Street,Queens,11374,802552.7999999999
315 7th Avenue,New York,10001,58203.43599999999
148-19 90th Avenue,Queens,11435,56211.79399999999
249 Beach 15th Street,Queens,11691,79723.3
55 Bowen Street,Staten Island,10304,34886.498
195 Steuben Street,Staten Island,10304,110842.92400000001
231 Steuben Street,Staten Island,10304,108913.32400000001
1140 Clay Avenue,Bronx,10456,3102.0999999999967
986 Morris Avenue,Bronx,10456,11401.724999999997
1055 Findlay Avenue,Bronx,10456,5227.675000000007
256 East 169th Street,Bronx,10456,8204.150000000003
266 East 169th Street,Bronx,10456,5818.950000000002
210 East 166th Street,Bronx,10456,832.6760000000074
1279 Sheridan Avenue,Bronx,10456,25352.800000000003
1101 Forbell Street,Brooklyn,11208,22676.484999999993
922 Forbell Street,Brooklyn,11208,23925.365
2270 Kimball Street,Brooklyn,11234,14150.400000000003
14-03 - 14-21 Heyson Road,Queens,11691,8841.319999999994
1041 Findlay Avenue,Bronx,10456,52139.80200000001
1280 Sheridan Avenue,Bronx,10456,33855.77
1434 Ogden Avenue,Bronx,10452,36005.73299999999
864 Hewitt Place,Bronx,10459,40145.32799999998
2271 Washington Avenue,Bronx,10457,69119.143
2040-2060 White Plains Road,Bronx,10462,64125.63300000001
3035 White Plains Road,Bronx,10467,26699.835000000006
2217 Givan Avenue,Bronx,10475,156288.55499999996
635 Ruby Street,Brooklyn,11208,109681.68
710 Dumont Avenue,Brooklyn,11207,104826.65899999999
2930 West 30th Street,Brooklyn,11224,90040.161
2970 West 27th Street,Brooklyn,11224,214726.022
127-03 Jamaica Avenue,Queens,11418,67792.878
129-11 Jamaica Avenue,Queens,11418,89558.63200000001
14-10 New Haven Avenue,Queens,11691,72823.305
18-20 Father Capodanno Blvd,Staten Island,10305,134045.225
1294 Grant Avenue,Bronx,10456,47405.113
1291-1295 Sheridan Avenue,Bronx,10456,18215.29
1092 Close Avenue,Bronx,10472,34524.698000000004
3629 White Plains Road,Bronx,10467,58553.30999999999
1426 Loring Avenue,Brooklyn,11208,6554.475999999999
257 West 29th Street,New York,10001,16660.287
7 Albany Avenue,Brooklyn,11216,55299.12
7 Albany Avenue / 15 Albany Avenue,Brooklyn,11216,22067.11999999999
1294 Grant Avenue / 1295 Morris Avenue,Bronx,10456,34751.42600000001
162-20 89th Avenue,Queens,11432,30185.376
12 East 97th Street,New York,10029,98879.67199999999
