Address 1,City,Postal Code,Largest Property Use Type - Gross Floor Area (ft²),Natural Gas Use (therms),Electricity Use - Grid Purchase (kWh),Green Power - Offsite (kWh),Net Emissions (Metric Tons CO2e),Avoided Emissions - Onsite and Offsite Green Power (Metric Tons CO2e),Water Use (All Water Sources) (kgal),Latitude,Longitude
139-20 34th Avenue,Queens,11354,31723,5947.66043,187268.8,0,78.7,0,880.5,40.767129,-73.828503
589 Johnson Ave,Brooklyn,11237,31627,11974.99994,214819.4,0,117.7,0,277.9,40.70918,-73.923515
509 5th Ave,Manhatten,10036,55474,Not Available,342689.3,0,86.3,0,586.1,40.753897,-73.980571
515 West 52nd Street,New York,10019,278578,238274.0165,Insufficient access,0,2003.4,0,6300.5,40.766439,-73.992054
5613 Second Avenue,Brooklyn,11220,63000,57475.63351,365883.5,0,397.4,0,4515.3,40.645596,-74.020547
350 St. Ann's Avenue,Bronx,10454,179130,105336.0634,993584.7,0,809.6,0,13415.1,40.809478,-73.915752
250 West 50th Street,New York,10019,464306,333812.6676,5950559.7,0,3271.1,0,22603.9,40.76183,-73.985034
63-50 Wetherole Street,Queens,11374,70970,63142.00193,237531.1,0,395.2,0,6974.1,40.728215,-73.864232
665 88 Street,Brooklyn,11228,65600,45765.00221,152037.3,0,281.4,0,5532.6,40.617948,-74.022426
6901 21 Avenue,Brooklyn,11204,34000,32154.9971,92357.3,0,194,0,2595,40.612824,-73.986112
1964 66 Street,Brooklyn,11204,28208,22431.99997,63090.7,0,135,0,2315.2,40.616434,-73.987357
6813 21 Avenue,Brooklyn,11204,34000,30618.00147,106723.5,0,189.5,0,Not Available,40.613332,-73.985579
144-03 Barclay Avenue,Queens,11355,45500,2825.545451,197841.7,0,319,0,4484.6,40.759849,-73.820598
90-59 56th Ave,Elmhurst,11373,122381,65077.0014,515399.9,0,475.4,0,5471.6,40.736098,-73.871739
2506 Davidson Avenue,Bronx,10468,37000,29067.31186,132096.9,0,187.6,0,3676.4,40.864537,-73.900899
2820 Middletown Road,Bronx,10461,23200,23864.46152,135851.7,0,161,0,3013.3,40.843463,-73.835975
1252 West Farms Road,Bronx,10459,28453,25535.272,100607.9,0,161,0,Not Available,40.82903,-73.888012
1379 West 6th Street,Brooklyn,11204,21894,13667.00033,94107.2,0,96.3,0,1490.4,40.612225,-73.980472
1506 Overing Street,Bronx,10461,27150,14911.1255,105917.6,0,105.9,0,1541.9,40.840877,-73.845664
597 5 AVENUE,NEW YORK,10017,39942,Not Available,669920.6,0,219.6,0,236.4,40.75744,-73.977989
45-20 33rd St,Queens,11101,140000,88467.1685,3042559.7,0,1276.8,0,2984.7,40.743969,-73.931836
100 Willoughby Street,New York,11201,830233,243027.9957,6314547.8,0,2880.6,0,25315.4,40.692126,-73.9847
3 UN Plaza,New York,10017,203835,Not Available,2920637.2,0,1208.8,0,1079.7,40.75062,-73.970116
343 Gold Street,Brooklyn,11201,598359,331639.02,3492749,0,2640.8,0,26012,40.694226,-73.983289
4-75 48th Avenue,Queens,11109,575325,174575.3826,4240799.8,0,1994.9,0,22613.2,40.744596,-73.956445
2-01 50th Avenue,New York,11101,395532,292021.3339,2484277.8,0,2176.5,0,17202.5,40.74359,-73.958535
280 Broadway,New York,10007,109844,Not Available,3906359.9,0,1192.7,0,Not Available,40.714417,-74.006089
300 West 49th Street,New York,10019,105300,35390.12453,1156559.4,0,771,0,6552.9,40.761805,-73.986925
131 East 23 Street,New York,10010,54000,36261.9399,413976.8,0,296.8,0,2501.5,40.739644,-73.985039
445 East 77th Street,New York,10075,103500,61589.97742,814351.2,0,532.2,0,3336.2,40.77059,-73.952597
115 East 82nd Street,New York,10028,50000,28540.05449,196701.8,0,201.1,0,1734.7,40.777287,-73.95834
211 West 106th Street,New York,10025,130000,49663.44027,344109.1,0,350.4,0,3813.6,40.800839,-73.966637
207 West 106th Street,New York,10025,130000,51596.17884,373998.9,0,368.2,0,Not Available,40.800707,-73.96633
495 West 187th Street,New York,10033,52000,32672.46381,201852.7,0,224.4,0,Not Available,40.851794,-73.927956
481 Fort Washington Ave,New York,10033,53000,2985.47949,240251.3,0,450.7,0,3475.5,40.851435,-73.938095
490 West 187th Street,New York,10033,52000,47835.2073,285222.3,0,325.9,0,3119.2,40.851766,-73.927934
